ISIN,SEDOL,Share Class,Currency,Date,Price,Price Change,Price Change(%),OCF,Domicile
IE00BFPM9K89,BFPM9K8,European Stock Index Fund Institutional Plus USD Acc,USD,2023-05-05,151.6522,1.762299999999982,1.18,0.08000000000000000166533453693773481063544750213623046875,Ireland
IE0002639551,0263955,European Stock Index Fund USD Acc,USD,2023-05-05,30.7903,0.35779999999999745,1.18,0.11999999999999999555910790149937383830547332763671875,Ireland
IE0002639445,0263944,European Stock Index Fund USD Investor Shares,USD,2020-06-19,22.1281,0.06899999999999906,0.31,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00B04GQR24,B04GQR2,Eurozone Inflation-Linked Bond Index Fund EUR Acc,EUR,2023-05-05,131.0686,-0.30410000000000537,-0.23,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BGCZ0719,BGCZ071,Eurozone Inflation-Linked Bond Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,123.6225,-0.2866999999999962,-0.23,0.059999999999999997779553950749686919152736663818359375,Ireland
IE000E69G7V7,BPLGRX3,Eurozone Inflation-Linked Bond Index Fund Institutional Plus EUR Distributing,EUR,2023-05-05,84.4207,-0.1957000000000022,-0.23,0.059999999999999997779553950749686919152736663818359375,Ireland
IE00B04GQQ17,B04GQQ1,Eurozone Inflation-Linked Bond Index Fund Investor Shares,EUR,2023-05-05,150.8627,-0.35009999999999764,-0.23,0.11999999999999999555910790149937383830547332763671875,Ireland
IE0008248803,B62ZBL2,Eurozone Stock Index Fund EUR Acc,EUR,2023-05-05,267.3737,3.5254999999999654,1.34,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BGCC4585,BGCC458,Eurozone Stock Index Fund Institutional Plus EUR Acc,EUR,2023-05-05,177.1488,2.3359999999999843,1.34,0.08000000000000000166533453693773481063544750213623046875,Ireland
IE00BGCC4478,BGCC447,Eurozone Stock Index Fund Institutional Plus USD Acc,USD,2023-05-05,145.7506,2.0002999999999815,1.39,0.08000000000000000166533453693773481063544750213623046875,Ireland
IE0008248795,B61N418,Eurozone Stock Index Fund Investor Euro Shares,EUR,2023-05-05,231.5727,3.0534000000000106,1.34,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00B02JYG83,B02JYG8,Eurozone Stock Index Fund USD Acc,USD,2023-05-05,294.3181,4.039100000000019,1.39,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00B02JYD52,B02JYD5,Eurozone Stock Index Fund USD Investor Shares,USD,2020-06-19,216.4526,0.20229999999997972,0.09,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BYMSW692,BYMSW69,FTSE Developed Europe xUK CCF Institutional B GBP Accumulation Units - UK Life Ins Co,GBP,2023-05-05,201.0947,0.48969999999999914,0.24,0.14000000000000001332267629550187848508358001708984375,Ireland
IE00BRK93W89,BRK93W8,FTSE Developed World CCF Institutional B GBP Accumulation Units - UK Charity,GBP,2023-05-05,230.4856,0.5577000000000112,0.24,0.25,Ireland
IE00BRK94038,BRK9403,FTSE Developed World CCF Institutional B GBP Accumulation Units - UK Life Ins. Co.,GBP,2023-05-05,146.7288,0.3550000000000182,0.24,0.25,Ireland
IE00BRK94G96,BRK94G9,FTSE Developed World CCF Institutional B GBP Distributing Units - UK Charity,GBP,2023-05-05,150.5693,0.36429999999998586,0.24,0.25,Ireland
IE00BRK93Z11,BRK93Z1,FTSE Developed World CCF Institutional B GBP Hedged Accumulation Units - UK Charity,GBP,2023-05-05,182.5727,0.7914000000000101,0.44,0.270000000000000017763568394002504646778106689453125,Ireland
IE00BRK94368,BRK9436,FTSE Developed World CCF Institutional B GBP Hedged Accumulation Units - UK Life Ins. Co.,GBP,2023-05-05,177.1846,0.7643999999999949,0.43,0.270000000000000017763568394002504646778106689453125,Ireland
IE00BYMSV959,BYMSV95,FTSE Developed World xUK CCF Institutional B GBP Accumulation Units - UK Life Ins Co,GBP,2023-05-05,230.6607,0.5587999999999909,0.24,0.200000000000000011102230246251565404236316680908203125,Ireland
IE00B2RHVR18,B2RHVR1,Global Bond Index Fund CHF Hedged Acc,CHF,2023-05-05,117.0287,-0.39629999999999654,-0.34,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BN6QDG94,BN6QDG9,Global Bond Index Fund CHF Hedged Dist,CHF,2023-05-05,81.4155,-0.2757000000000005,-0.34,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00B18GC888,B18GC88,Global Bond Index Fund EUR Hedged Acc,EUR,2023-05-05,94.7217,-0.3119000000000085,-0.33,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BN6QDH02,BN6QDH0,Global Bond Index Fund EUR Hedged Dist,EUR,2023-05-05,82.4623,-0.27179999999999893,-0.33,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00B50W2R13,B50W2R1,Global Bond Index Fund GBP Hedged Acc,GBP,2023-05-05,144.4985,-0.4627999999999872,-0.32,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00B2RHVP93,B2RHVP9,Global Bond Index Fund GBP Hedged Dist,GBP,2023-05-05,119.4761,-0.3825999999999965,-0.32,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BGCZ0C60,BGCZ0C6,Global Bond Index Fund Institutional Plus CHF Hedged Acc,CHF,2023-05-05,93.5700,-0.31680000000000064,-0.34,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BGCZ0B53,BGCZ0B5,Global Bond Index Fund Institutional Plus EUR Hedged Acc,EUR,2023-05-05,101.8715,-0.3352000000000004,-0.33,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BPT2BQ43,BPT2BQ4,Global Bond Index Fund Institutional Plus GBP Hedged Acc,GBP,2023-05-05,107.1531,-0.3430000000000035,-0.32,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BPT2BP36,BPT2BP3,Global Bond Index Fund Institutional Plus GBP Hedged Dist,GBP,2023-05-05,92.4271,-0.29590000000000316,-0.32,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BGCZ0D77,BGCZ0D7,Global Bond Index Fund Institutional Plus JPY Hedged Acc,JPY,2023-05-05,9031.8510,-30.122599999998783,-0.33,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BFPM9Y26,BFPM9Y2,Global Bond Index Fund Institutional Plus USD Hedged Acc,USD,2023-05-05,110.5586,-0.35479999999999734,-0.32,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BFXZJ096,BFXZJ09,Global Bond Index Fund Institutional Plus USD Hedged Dist,USD,2023-05-05,95.6758,-0.30700000000000216,-0.32,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00B43TB865,B43TB86,Global Bond Index Fund Institutional Swiss Franc Hedged (Closed) Shares,CHF,2012-08-24,1.0000,0,0.00,0.25,Ireland
IE00B43TCW70,B43TCW7,Global Bond Index Fund Investor CHF Hedged Shares,CHF,2020-06-19,106.8295,0.028999999999996362,0.03,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BGCZ0933,BGCZ093,Global Bond Index Fund Investor EUR Hedged Shares,EUR,2020-06-19,110.2129,0.032400000000009754,0.03,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BGCZ0826,BGCZ082,Global Bond Index Fund Investor USD Hedged Shares,USD,2023-05-05,109.8559,-0.3526999999999987,-0.32,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00B18GC664,B18GC66,Global Bond Index Fund JPY Hedged Acc,JPY,2021-03-23,10796.6299,25.704499999999825,0.24,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00B18GCB14,B18GCB1,Global Bond Index Fund USD Hedged Acc,USD,2023-05-05,149.8413,-0.48109999999999786,-0.32,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BN6QDF87,BN6QDF8,Global Bond Index Fund USD Hedged Dist,USD,2023-05-05,85.9309,-0.27590000000000714,-0.32,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BDFB5P87,BDFB5P8,Global Corporate Bond Index Fund CHF Hedged Acc,CHF,2023-05-05,83.8043,-0.2488000000000028,-0.30,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BDFB5N63,BDFB5N6,Global Corporate Bond Index Fund EUR Hedged Acc,EUR,2023-05-05,84.8949,-0.24099999999999966,-0.28,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BDFB5M56,BDFB5M5,Global Corporate Bond Index Fund GBP Hedged Acc,GBP,2023-05-05,99.3136,-0.2722000000000122,-0.27,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BDFB5K33,BDFB5K3,Global Corporate Bond Index Fund GBP Hedged Dist,GBP,2023-05-05,82.4524,-0.2259999999999991,-0.27,0.179999999999999993338661852249060757458209991455078125,Ireland
IE00BDFB5F89,BDFB5F8,Global Corporate Bond Index Fund Institutional Plus EUR Hedged Acc,EUR,2023-05-05,95.9306,-0.272199999999998,-0.28,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BDFB5D65,BDFB5D6,Global Corporate Bond Index Fund Institutional Plus GBP Hedged Acc,GBP,2023-05-05,99.8139,-0.2733999999999952,-0.27,0.11999999999999999555910790149937383830547332763671875,Ireland
IE000MRSHTF3,BMYZ8F5,Global Corporate Bond Index Fund Institutional Plus GBP Hedged Dist,GBP,2023-05-05,101.6388,-0.2785999999999973,-0.27,0.11999999999999999555910790149937383830547332763671875,Ireland
IE00BDFB5T26,BDFB5T2,Global Corporate Bond Index Fund USD Hedged Acc,USD,2023-05-05,106.6040,-0.2943000000000069,-0.28,0.179999999999999993338661852249060757458209991455078125,Ireland
IE000389U7O4,BL972P7,Global Credit Bond Fund Institutional AUD Hedged Dist,AUD,2023-05-05,84.7619,-0.2370999999999981,-0.28,0.299999999999999988897769753748434595763683319091796875,Ireland
IE00BJHGQZ02,BJHGQZ0,Global Credit Bond Fund Institutional AUD Hedged Shares,AUD,2023-05-05,98.7113,-0.2763000000000062,-0.28,0.299999999999999988897769753748434595763683319091796875,Ireland
IE0007RE1E54,BP0PQN4,Global Credit Bond Fund Institutional CHF Hedged Accumulation,CHF,2023-05-05,89.6554,-0.2621000000000038,-0.29,0.299999999999999988897769753748434595763683319091796875,Ireland
IE00BF7MPP31,BF7MPP3,Global Credit Bond Fund Institutional EUR Hedged Shares,EUR,2023-05-05,102.3376,-0.2927999999999997,-0.29,0.299999999999999988897769753748434595763683319091796875,Ireland
IE0007XHW766,BP0PQR8,Global Credit Bond Fund Institutional GBP Hedged Accumulation,GBP,2023-05-05,92.0717,-0.25799999999999557,-0.28,0.299999999999999988897769753748434595763683319091796875,Ireland
IE00BF7MPN17,BF7MPN1,Global Credit Bond Fund Institutional USD Hedged Shares,USD,2023-05-05,115.4989,-0.32099999999999795,-0.28,0.299999999999999988897769753748434595763683319091796875,Ireland
IE00BYV1RG46,BYV1RG4,Global Credit Bond Fund Investor GBP Hedged Accumulation Shares,GBP,2023-05-05,107.8525,-0.30239999999999156,-0.28,0.34999999999999997779553950749686919152736663818359375,Ireland
IE00BYV1RH52,BYV1RH5,Global Credit Bond Fund Investor GBP Hedged Income Shares,GBP,2023-05-05,91.3741,-0.25620000000000687,-0.28,0.34999999999999997779553950749686919152736663818359375,Ireland
IE00BYV1RD15,BYV1RD1,Global Credit Bond Fund Investor USD Hedged Shares,USD,2023-05-05,115.1738,-0.3201999999999998,-0.28,0.34999999999999997779553950749686919152736663818359375,Ireland
IE00B1P1JL82,B1P1JL8,Global Enhanced Equity Fund USD Institutional Shares,USD,2021-01-14,206.7182,0.3978999999999928,0.19,0.5,Ireland
IE00BH65QQ53,BH65QQ5,Global Short-Term Bond Index Fund CHF Hedged Acc,CHF,2023-05-05,92.7962,-0.20980000000000132,-0.23,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QP47,BH65QP4,Global Short-Term Bond Index Fund EUR Hedged Acc,EUR,2023-05-05,97.5984,-0.21240000000000236,-0.22,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QG55,BH65QG5,Global Short-Term Bond Index Fund GBP Hedged Acc,GBP,2023-05-05,106.3869,-0.2237999999999971,-0.21,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QH62,BH65QH6,Global Short-Term Bond Index Fund GBP Hedged Dist,GBP,2023-05-05,97.1928,-0.2043999999999926,-0.21,0.1499999999999999944488848768742172978818416595458984375,Ireland
IE00BH65QV07,BH65QV0,Global Short-Term Bond Index Fund Institutional Plus CHF Hedged Acc,CHF,2023-05-05,93.3950,-0.21110000000000184,-0.23,0.1000000000000000055511151231257827021181583404541015625,Ireland
IE00BH65QT84,BH65QT8,Global Short-Term Bond Index Fund Institutional Plus EUR Hedged Acc,EUR,2023-05-05,98.0288,-0.21309999999999718,-0.22,0.1000000000000000055511151231257827021181583404541015625,Ireland
