Name,ISIN,Transaction Date,Currency Transaction Price,Transaction price,Currency AuM, AuM ,TIS
Robeco Next Digital Billion M2 EUR,LU2400459074,05-May-23,EUR,49.53,USD,10219869.16,
RobecoSAM QI Global SDG & Climate Beta Equities D EUR,LU2416558653,05-May-23,EUR,91.14,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities F EUR,LU2416558737,05-May-23,EUR,91.46,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities I EUR,LU2416558810,05-May-23,EUR,91.57,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities D USD,LU2416559032,05-May-23,USD,88.98,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities F USD,LU2416559115,05-May-23,USD,89.29,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities I USD,LU2416559206,05-May-23,USD,89.40,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities Z EUR,LU2539431655,05-May-23,EUR,103.82,EUR,5891561.94,
RobecoSAM QI Global SDG & Climate Beta Equities Z GBP,LU2539432208,05-May-23,GBP,104.07,EUR,5891561.94,
Robeco Sustainable Asian Bonds DH EUR,LU2465792708,05-May-23,EUR,97.57,USD,10452349.44,
Robeco Sustainable Asian Bonds FH EUR,LU2465792880,05-May-23,EUR,98.04,USD,10452349.44,
Robeco Sustainable Asian Bonds IH EUR,LU2465792963,05-May-23,EUR,98.12,USD,10452349.44,
Robeco Sustainable Asian Bonds BX USD,LU2465793003,05-May-23,USD,95.59,USD,10452349.44,
Robeco Sustainable Asian Bonds D USD,LU2465793185,05-May-23,USD,100.47,USD,10452349.44,
Robeco Sustainable Asian Bonds F USD,LU2465793268,05-May-23,USD,100.96,USD,10452349.44,
Robeco Sustainable Asian Bonds I USD,LU2465793342,05-May-23,USD,101.04,USD,10452349.44,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits DH EUR,LU2470981197,05-May-23,EUR,96.20,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits FH EUR,LU2470981353,05-May-23,EUR,96.47,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits IH EUR,LU2470981437,05-May-23,EUR,96.54,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits IH GBP,LU2470981510,05-May-23,GBP,97.87,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits ZH GBP,LU2470981783,05-May-23,GBP,98.24,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits DH USD,LU2470981866,05-May-23,USD,99.13,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits FH USD,LU2470981940,05-May-23,USD,99.40,EUR,9654013.67,
RobecoSAM QI Global SDG & Climate Multi-Factor Credits IH USD,LU2470982088,05-May-23,USD,99.48,EUR,9654013.67,
RobecoSAM Net Zero 2050 Climate Equities D EUR,LU2496629259,05-May-23,EUR,103.25,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities F EUR,LU2496629333,05-May-23,EUR,103.89,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities I EUR,LU2496629416,05-May-23,EUR,103.95,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities  S EUR,LU2496629507,05-May-23,EUR,103.92,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities D USD,LU2496629689,05-May-23,USD,112.75,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities F USD,LU2496629762,05-May-23,USD,113.48,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities I USD,LU2496629846,05-May-23,USD,113.50,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities S USD,LU2496630000,05-May-23,USD,113.48,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities Z GBP,LU2539432976,05-May-23,GBP,104.89,EUR,3995465.93,
RobecoSAM Net Zero 2050 Climate Equities Z EUR,LU2554843115,05-May-23,EUR,100.93,EUR,3995465.93,
RobecoSAM Biodiversity Equities D EUR,LU2539440995,05-May-23,EUR,101.38,EUR,3560429.53,
RobecoSAM Biodiversity Equities F EUR,LU2539441027,05-May-23,EUR,101.77,EUR,3560429.53,
RobecoSAM Biodiversity Equities I EUR,LU2539441290,05-May-23,EUR,101.82,EUR,3560429.53,
RobecoSAM Biodiversity Equities Z GBP,LU2539441456,05-May-23,GBP,103.98,EUR,3560429.53,
RobecoSAM Biodiversity Equities D USD,LU2539441530,05-May-23,USD,112.90,EUR,3560429.53,
RobecoSAM Biodiversity Equities F USD,LU2539441613,05-May-23,USD,113.36,EUR,3560429.53,
RobecoSAM Biodiversity Equities I USD,LU2539441704,05-May-23,USD,113.39,EUR,3560429.53,
Robeco Quantum Equities D EUR,LU2545200128,05-May-23,EUR,97.95,EUR,4948148.88,
Robeco Quantum Equities F EUR,LU2545200391,05-May-23,EUR,98.13,EUR,4948148.88,
Robeco Quantum Equities I EUR,LU2545200474,05-May-23,EUR,98.15,EUR,4948148.88,
Robeco Quantum Equities D USD,LU2545200557,05-May-23,USD,105.27,EUR,4948148.88,
Robeco Quantum Equities F USD,LU2545200631,05-May-23,USD,105.47,EUR,4948148.88,
Robeco Quantum Equities I USD,LU2545200714,05-May-23,USD,105.49,EUR,4948148.88,
Robeco QI Global Developed Sustainable Beta Equities Fund EUR G,NL00150016R5,05-May-23,EUR,101.62,EUR,63066175.91,
Robeco QI Global Developed Sustainable Beta Equities Fund EUR X,NL00150016Q7,05-May-23,EUR,101.62,EUR,63066175.91,
Robeco QI Global Developed Sustainable Beta Equities Fund X2 EUR,NL0015001DV7,05-May-23,EUR,101.09,EUR,63066175.91,
Robeco QI US Sustainable Beta Equities Fund EUR G,NL00150016S3,05-May-23,EUR,99.55,EUR,4977444.49,
Robeco QI US Sustainable Beta Equities Fund EUR X,NL00150016T1,05-May-23,EUR,9954.93,EUR,4977444.49,
Robeco - Phoenix Customized Multi Asset Fund - EUR F,NL0015001B44,05-May-23,EUR,100.72,GBP,177494.53,
Robeco - Phoenix Customized Multi Asset Fund - GBP F,NL0015001B51,05-May-23,GBP,99.83,GBP,177494.53,
