Umbrella_Name,Fund_Name,Fund_Class,Valuation_Date,BASECurrency,QUOTCurrency,NAV_per_unit,Previous_NAV_per_unit,Change_in_NAV_per_unit,Change_Percent_in_NAV_per_unit,Client_Offer_Price,Client_Offer_Percentage,Income_Aktien,Total_NAV_per_Class_Base_Ccy,Total_Net_Assets_per_Class_MIL,Units_In_Issue,DIV_Flag,Cutas,FT,ISIN,BloombergTicker,VN,FMSedols,ISESedols,EuroClearCedel,Bundesamt,Sicovam,AFCCodes,WKN,Annualised_1_Day_Yield,clio_fund_id,Distribution_rate_per_share,Accum_Deemed_Distrib,Cap_Per_Unit,Inc_Per_Unit,Fund_Title,IFAST_account_number,IFAST_account_class,Income_Zwish,Unrounded_Quotations_NAV,Unrounded_Base_NAV,Exchange_Rate,ExpenseRatio,DividendtoMonthMethod,FundType,AccrualDate,MillRate,DailyDividend,DividendMonthtodate,DayYield1,DayYield7,DayYield30,MCH_account_number,MCH_account_class,Income_IG,Total_NAV_Per_Fund,AG2,TIS,TID,CUSIP,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD N Class Income Units,05/05/2023,USD,USD,9.10,9.09,.01,.11,,,.00,99350.35,.10,10913.680,,,,IE00BD0Q8Q03,PGIHYNI ID,,,BD0Q8Q0,,,,,A2PDH5,,,,,,,PGIF Global High Yield Fund,,,.0000,9.103286,9.103286,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,USD I Class Income,05/05/2023,USD,USD,8.74,8.73,.01,.11,,,.00,29418444.52,29.42,3365029.923,,,,IE00B8808032,PRHYIIE ID,,,B880803,,,,,A2H7EU,,,,,,,PGIF Global High Yield Fund,,,.0000,8.742402,8.742402,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,D2 INCOME PLUS UNITS,05/05/2023,USD,USD,8.67,8.66,.01,.12,,,.00,426587.70,.43,49181.680,,,,IE00BKHY2640,PGHD2PU ID,,,BKHY264,,,,,A2P6BJ,,,,,,,PGIF Global High Yield Fund,,,.0000,8.673711,8.673711,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,EUR Hedged I Class Accumulation,05/05/2023,USD,EUR,9.19,9.17,.02,.22,,,.00,9555896.11,9.56,944816.848,,,,IE00B1FH2G27,PIFIEHA ID,2719257,,B1YQ7R6,,,,,A0LBDZ,,,,,,,PGIF Global High Yield Fund,,,.0000,9.189316,10.114020,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,BRL Hedged I Class  Accumulation,05/05/2023,USD,BRL,56.40,56.27,.13,.23,,,.00,2505494.03,2.51,220638.467,,,,IE00B8RBX799,PIFIHAU ID,21064795,,B8RBX79,,,,,A14Z01,,,,,,,PGIF Global High Yield Fund,,,.0000,56.402942,11.355654,4.966948,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,AUD Hedged A Class Income,05/05/2023,USD,AUD,11.22,11.20,.02,.18,,,.00,476669.41,.48,62992.039,,,,IE00BP4VMB80,PIFHYAU ID,,,BP4VMB8,,,,,A14Z02,,,,,,,PGIF Global High Yield Fund,,,.0000,11.223103,7.567137,1.483137,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,Euro Hedged N Class Income Units,05/05/2023,USD,EUR,8.36,8.35,.01,.12,,,.00,6886758.95,6.89,748253.906,,,,IE00BD0Q8S27,PIFHYIE ID,,,BD0Q8S2,,,,,A2PDH2,,,,,,,PGIF Global High Yield Fund,,,.0000,8.362291,9.203773,.908572,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,CHF Hedged I Class Acc Units,05/05/2023,USD,CHF,95.72,95.55,.17,.18,,,.00,79020292.81,79.02,736903.621,,,,IE00BD1K3K05,PRHYIAU ID,,,BD1K3K0,,,,,A2JNGJ,,,,,,,PGIF Global High Yield Fund,,,.0000,95.720415,107.232874,.892641,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,HONG KONG DOLLAR D2 INCOME PLUS UNITS,05/05/2023,USD,HKD,8.79,8.77,.02,.23,,,.00,412504.81,.41,368323.512,,,,IE00BKHY2756,PGHD2PH ID,,,BKHY275,,,,,A2P6BH,,,,,,,PGIF Global High Yield Fund,,,.0000,8.788828,1.119952,7.847501,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
PRINCIPAL GLOBAL INVESTOR FUNDS,PGIF Global High Yield Fund,D Class Income Units,05/05/2023,USD,USD,9.04,9.02,.02,.22,,,.00,1008.32,.00,111.548,,,,IE00B40N6N13,PRGHYDU ID,,,B40N6N1,,,,,A2QHZ4,,,,,,,PGIF Global High Yield Fund,,,.0000,9.039337,9.039337,1.000000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,0,225290331,.000000000,.000000,.000000000,,EndofRow,
